各位同學大家好,今天我們要上的內容是關於在漁業資源復育目前我們採行的一些方法,
我們主要是利用在漁苗的放流,並且進行後續的一些追蹤。
他可能就比較沒有辦法去記錄
他很完整的這個生命的週期
那耳石的話相對來講
我們剛剛看到他其實被這個腦
的這個頭部所包覆
所以其實他也不會受到外面的影響
那另外一個是他其實是一個
過飽的沉澱結晶
雖然其實他不會因為
生理的一些其他的因素讓他不長
所以他其實可以記錄
比較完整的被保護好的一個
這個他的魚的年齡的這個記錄器
那另外一個是我們說
所以很多人會希望
喜歡把他拿來當作一個魚的病齡
我們要知道他的年紀的話
就會用這個來做一個工具
那他一樣因為他在夏天
就是成長比較快的時候
他也會長比較快
那可能溫度比較低的時候
像是冬天的時候
他就會長得比較慢
他的輪寬就會比較小
所以其實我們可以同時用他來
回算這些魚在不同年紀裡面的
這個成長率是多少
所以我們在魚類的魚業生物學上面
然後我們用很多耳石來當作
一些運算或換算的這些工具
像我們可以知道他的形態
中間這個照片就是不同
三種不同魚的耳石的形狀
其實他是不同的
所以他可以拿來當作一個
種類鑑定的一個工具
那在右下角是他的日輪
所以其實你也可以知道
這條魚他活了幾天
那當然在右上角這個
他就秀出來這個就是年齡了
他是可以算得出來年輪
所以我們把他稱作是
耳石的一些特徵
來做種類的鑑定
那我可以用來知道說
這條魚他到底活了幾天或幾年了
所以他其實是一個很好的
這個時間的紀錄器
那所以說其實在耳石上面
我們如果說抓到一條魚
先把他的耳石拿出來
其實你就可以知道說
到底他活了多久的時間
那接下來我們說
我要把他當作回游的工具
目前我大概只有時間的
這樣的一個紀錄
那可是我剛剛說
魚的耳石會隨著時間的成長
會一層一層往上再堆疊
那堆疊上來這些東西
這些物質其實
他會記錄的環境裡面的
像海水裡面的這些不同的
元素的組合是怎樣
他就會等比例的
在最後記錄在這個
右邊這個耳石上面
所以我們說右邊這三個圖
在S軸的地方都是水裡面的
絲或被跟蓋的筆直
他的濃度
那如果在水裡面的
絲蓋筆的濃度比較高
你可以看到Y軸上面
相對的在耳石上面
他就可以測到比較高的濃度
所以耳石除了說
他是一個很好的時間紀錄器之外
他其實也是一個很好的
環境裡面的化學的紀錄器
所以我們不管是在一些
比較微量的元素上面
或者是比較次要的元素上
你都可以等比例的
讓他留在耳石上
所以你用耳石的元素的分析
你就可以去知道說
他在第二年或第三年的時候
他是在什麼樣的水化學
下面所組成的
所以其實這個是在耳石的
這個中期表上
你可以看到有標到顏色的
其實都是在耳石上面
可以被偵測到的
所以我們一般大概會用比較多是在
2A組的這個元素
因為我剛剛說
耳石主要是由碳
碳酸鈣
所以他的鈣跟碳
還有氧
這三個元素的濃度就是最高的
因為這是他主要的化學成分
那跟他化學特性比較像的
像是2A組的這個絲
他也會有比較高的濃度
留在耳石上面
所以那絲其實我們在海洋化學裡面
如果你們有上過的話
大概就知道說
在海水裡面跟淡水裡面
海水裡面絲的濃度是
7930個microgram per liter
那在淡水其實只有不到千分之一
他大概只有60個microgram per liter
所以如果是這個魚在海水環境
跟在淡水環境裡面生活的話
你用絲的濃度就可以去偵測出來
所以我們說絲是一個
tresholding migration tracer
就是一個穿延性
越過不同緣度環境的一個回遊的指標
那所以我們如果把耳石
經過一些處理
當然我們說把耳石取下來
然後經過切片之後
那你就可以看到像
中間下面的這個圖
就是是在一個大概一英寸
就是在2.54公分直徑的這個模型上面
你可以看到8顆小的耳石
已經被包滿了
那把它經過研磨處理之後呢
你再經過一些微化學的分析
或者是再經過輕微的栓來做腐蝕
那之後再放在這個
掃描式電子顯微鏡上
你就可以看到很微細的
這個耳石上面的一些構造
那配合上不同輪
不同圈
不同這個同心圓的這個化學分析
你就可以知道說
它到底在哪一天的時候
是在什麼環境裡面生活的
那我們過去其實在台灣
開始做這個耳石的研究
大概主要是用來做像照片裡面
其實這個是日本鰻
就是蒲燒鰻的這個物種
那鰻魚其實現在你們在餐廳裡面
吃到的大概都是已經
是養殖池裡面養大的
那可是它的魚苗
它的鰻鳥其實還是在河口湖撈到的
那經過可能大概一年的養殖之後
你會在餐桌上吃到它
可是過去我們沒有辦法去做
比較大量的人工繁殖
是因為其實我們不曉得
在自然界裡面
這個鰻魚到底是在什麼地方產卵的
所以後來其實就
經過了一些研究之後
這個是在鰻魚的生活史
它其實就是我們一般說的這個
降海性肥油的魚類
所以它是在最下面這個銀鰻的照片
就是它從陸地上
要回到海洋裡面去產卵
所以它是降海肥油性的這個物種
那它在陸地上的時間當然是比較長
它主要成長的階段
都是在陸地的河川裡面
可是它在左邊的這半圈
其實在海洋裡面是它產卵孵化
就是說它小時候跟它產卵的時候
都在這個地方
只是它在海裡面哪一個位置
或者是它在什麼樣的環境
是生殖的環境是在什麼樣的地方
其實我們過去是不曉得的
那我們只知道的就是
我們在河口會撈到這個鰻蟹
所以我們就用鰻蟹的餌食
來先做了一些分析
這個是鰻蟹的餌食
那可以看到它其實會有這個
核心的地方
還有它開始涉食跟開始孵化
跟開始涉食的這些訊號
那之後我們就可以計算說
它到底在我們抵達台灣的河口的時候
它已經在海裡面出生了幾天了
就是幾天之後它會到台灣的這個河口
所以我們用餌食這種比較精細的
可以有這個時間的
就是天數的這樣一個紀錄器
就把它做了一些應用
那這個是整個餌食的
鰻蟹餌食的半徑
所以你可以從下面這個是在
核心的地方
然後一直往上去算
它就是相對代表就是鰻蟹的這個地方
那它其實經過一個變態的過程
我們可以看到中間這個圖
這個照片是柳葉魚
就是它從卵孵化之後
還沒有完全變態成
鰻蟹的過程裡面的中間的
一個子魚的階段
那到底它在這個階段
它經過了多少的時間
還有它是在什麼樣的環境裡面
飄送生活的
那我們就利用餌食來
做了一些不同的分析
那後來其實在經過了幾年的
研究之後才發現說
我們用這個天數
去乘上主要的
這些洋流的流速
所以去回推說它在台灣
它在抵達台灣之前
它是從哪裡來的
那我們知道其實台灣東側
會有這個黑潮
所以黑潮的流速目前是
比較知道的
那在黑潮的前端
其實接著就是北次道洋流
所以其實在日本後來就
經過餌食的計算
天數的計算再乘上
這兩個洋流的速度
那就發現說其實在這個關島
就是這個馬里亞納群島
附近的這個海域
大概可能是它的產卵場
那所以因為這樣的一個訊息
一個線索之後
那後來日本就
派了研究船就是到
這個地方來採樣
就發現說這個地方真的在
往次裡面可以抓到
像右上角這個照片上
看到的這些很小的流葉魚
那這個流葉魚經過
餌食的計算之後知道說
它其實只有孵化不到
一個禮拜的時間
表示它其實是非常的靠近
它的產卵場的
那有小有大
有一些可能出生的比較多天的
那這個階段的魚其實
它沒有什麼游泳的能力
所以如果你可以知道
洋流的速度跟它的
孵化的天數
其實你大概就能夠比較正確的
去掌握它的產卵場
所以在1992年
其實日本東京大學的學者
他們就透過這些不同的線索
就去證實了說
在這個關島附近
也就是馬里亞納海溝的
上方的這個水域裡面
其實是日本漫的這個產卵場
所以這時候我們就曉得說
日本漫的產卵場
是在什麼地方的
過去我們在教科書裡面可能都說
日本漫就是我剛說的
降海性回遊的魚類
那它在成魚
就是黃色黃漫的這個階段
應該都是在陸地上的
可是後來我們又進一步的利用
這些不同階段的漫魚的餌食
所以這個對應的
就是左邊這個是流葉魚的餌食
那上面是漫線
右邊是成漫
就是黃漫的階段
你可以看到它大概會在河川裡面
經過五到七年的時間
它才會成熟
所以上面可以記錄到
這個很明顯的這個年輪
這樣的一個訊號
那如果說它都在河川裡面
表示說我們如果分析
這個成魚成漫的餌食
那你可以得到的都會是
我剛說絲的元素
這個絲的元素
這個元素在淡水裡面是比較低的
在海水裡面比較高的
所以它可以拿來當作一個
魚類的不同鹽度間的回遊指標
所以如果說
我們透過這樣的原理去分析的話
照理講所有的漫魚應該都是
中間這個階段
都是會有一個比較低的絲的濃度
那結果發現說
我們做了一些分析之後
不同條的魚
就是它六隻的這個漫魚
結果發現
這六尾的漫魚其實
你可以看到不同顏色代表不同的濃度
比較偏紅色是濃度比較高
表示在海裡面的
這個絲的標準
那比較偏藍綠色
是在淡水裡面
那我剛說
A的這個圖
如果說一般的漫魚應該是在海裡面產卵
就是顏色比較深
偏紅色
那之後它應該都是在淡水
比較偏藍綠色的
這樣的一個表現
可是結果發現六條魚
其實六條不同的訊號
那以前我們都想說
它應該只有很單一的一個
回遊的路徑
結果發現說其實每一條漫魚
我們可以看到右邊
我就是直接拉一個穿越線去看它的濃度
結果發現說
這些魚其實每一隻
有的是比較前
比如說前半身
前半階段會在
海水裡面
那後半階段會在淡水裡面
那有一些呢
剛好相反
它可能是前半階段會在淡水裡面
那之後又進到海水
那它又在海水跟淡水之間
有一些交替的回遊
那這條也也是
就是
B的這個魚也是
前面是在淡水
它的絲的濃度是比較低的
然後後面是比較高
結果發現其實漫魚的回遊
跟我們想像中的
要來的多樣性
然後要來的更複雜
所以我們就去推翻了過去可能在
教科書上的定義
我們把這個 diodrome fish
就是兩側回遊的魚類
我們把它分成一個是 anadromous
那這個 catadromous
跟 amphidromous
就是溯河回遊、降海回遊
跟兩側回遊
漫魚一向就是
被拿來當作降海
回遊的例子
它跟鮭魚剛好相反
鮭魚是它要為了產卵
會回到陸地上
那所以它會溯河
那漫魚它是
為了產卵它是會到這個海裡面去
所以它是降海回遊
那過去我們就是
單一的方向回遊方向的定義
可是經過耳實的研究
之後我們其實知道說
漫魚其實它有比較複雜的
就是回遊的模式
所以我們就定義了一個
新的這個
漫魚的這個
new migration model
所以它其實有一些是
fresh water eel
就是它會跟一般
以前的教科書上的知識一樣
就是它會在河川裡面
會成長
可是有一些它其實有一些
根本不會進到淡水
它會在淡水跟海水之間
交替的這些
estuarine eel
就是河口性的這些漫魚
所以它其實是有非常高的多樣性
而且在不同的國家裡面
這三種的比例是不同的
所以其實它的回遊性
要比我們想像中要來的
更複雜
那這也是透過耳實的分析
才有辦法去得到這樣的一些
比較detail的
比較新的這些回遊的資訊
所以耳實大概可以用來
在我們說
剛剛講到在
日中輪的解讀
發現了這個日本漫的產卵場
所以我們就知道說
它的產卵場是在馬里亞納海溝附近的
那另外一個也是我們就會
透過耳實的一些
分析 元素的分析
知道說它到底是在
什麼樣的海域
然後在幾天的時候會進入到
河川裡面來的
耳實其實是我們這幾年在做
魚類回遊上面一個
很好用的
它其實是自然標示
你不需要去透過一些人為的添加
你就可以利用它來解析
這個魚它過去是經過了
什麼樣的一個環境
所以我們又回到說
我們剛剛在講說
這些研究魚類回遊的方法
那前面這個標示放流
可能都會需要一些人工的
這些標示或添加
才有辦法可以進行後續的
回收
可是這幾年我們就利用了耳實
所以耳實大概可以用來做
一些不同的回遊的特性
那耳實到底是什麼
還有耳實的這些化學的
元素到底是可以
用來做什麼樣的分析
大概可以先花個一分鐘
可以先看一下
好
我就不念一次
不過那個裡面是有蠻多題目的
等一下應該是會出現在
你們的這個考題裡面的
好
所以再給你們20秒的時間
好
所以耳實
它其實有一些
生理上的功用
它是聽覺還有這個平衡的記錄
那我們也可以用它來
記錄魚的生活
週期裡面的這個時間
當作一個時間的記錄
而且它也可以當作一個
環境的環境化學的
這樣的一個記錄器
那我們目前可能用試蓋比可以用來
知道說魚它大概在
淡水跟海水之間的回游
主要是因為海水裡面的
濕濃度是淡水的100倍以上
那它跟這個鹽度
是乘這個反比的
乘正比
那另外一個是我們剛沒有提到
不過就是如果說
魚類在變態的狀態
或者是小魚跟成魚的狀態
其實它也會有不同的試蓋比的濃度
所以它也可以拿來當作
一個發育階段的指標
那我們剛剛前面目前講到的
都只有在20的
其中兩個元素
就是濕跟蓋的這個比值
不過我們這幾年大概也慢慢的去用
我剛剛說濕蓋可以用來
分不同的鹽度
可是如果純粹是海水的個體
那我們可能就會需要用到
剛右下角這個週期表
上面更多的元素
那不同的海域像是在黑潮
的流域、非黑潮的流域
還有在西岸、還有在
沿岸的這些水域裡面
其實不同的海水
它的化學組成是不同的
所以它的微量元素的比例
上面是有點不同
所以我們如果可以分析20的
微量元素那我就可以去
回推到說它到底
應該是在哪一個海域裡面
所以這是結合了一些
海洋化學的分析
那我們再把它用來
在20的微量元素上面
來做比對
所以我剛剛回到我們一開始講到這個放流
那我想要知道說
放流的個體它是從
人工繁殖就是養殖場放出來的
那或者是它從小到大
都是在海裡面的
生活的野生的個體
那因為小時候在
養殖場的水跟在
海裡的水其實它的化學成分
不同,所以我如果去
分析它的這個核心的
這個元素的話
其實我就可以很明顯的就分的
出來說它到底是
野生的個體還是它是
透過回收跟
標示的這樣的個體
所以透過這樣一些化學的
方式或者是化學分析
的方法那我們就可以知道說
這些個體是
來源是什麼
其實它可以給我們一些更精確的
或者是更
正確的一些相對的
這個訊息
所以我們就用了這些新式的
這些標示的方法像是我剛剛
講到的耳食的化學分析
那另外一個我們在計畫裡面
用到的就是說
DNA,就是它的
這個
DNA的sequence,就是我們把它
在這個不同台灣的
種苗
就是說有成語有
種語的這些養殖場
都去取了它的DNA的序列
那現在用在
人類上面,就是你要做
這些DNA的親子鑑定
其實技術都不難
透過這個DNA的
方式可以知道說到底
這個人是不是你的
parent,是你的
爸爸或是媽媽
那這個
是不是你的小孩,所以其實這個
透過某一些基因的序列
片段的序列其實都可以知道
所以我們要知道說
到底這些魚是不是
從養殖場來的,我們只要
去針對說
這些養殖場的種語的基因序列
如果你能夠建立
這些種語的基因序列資料庫
那其實你就可以去做後續的
這些追蹤
所以我們目前就結合了
這兩個新式的
方式,那一樣還是
像過去在做這些
標示放流,就是
這些物種,所以我們做了非常
大量的這些標示
那希望能夠知道
說到底我們在經過這麼
多年的這些魚苗放流
的計畫,它是不是有效的
所以我們大概
另外還有經過魚可能
在經過了這個
標示之後還會放在一個
中間育成場,現在評估說
它到底存活率是怎樣
那這些育成場可能會選擇
離我們比較近的
其實在東北岸的這些像
馬崗漁港
就是貢寮往北邊走
還有在貢寮的
復育區還有在和美漁港
這都是在北部的這個海域
那這邊海邊會有很多
以前像是九孔養殖池
這幾年又回來養
前幾年大概有一些是
廢棄的魚池,那
沒有在用或者是已經沒有人
管理的這些漁港
我們就利用這些天然半
半開放的天然環境來做
這個魚苗的中間育成
那當然也有另外一些是放在
南部的這個湘網的養殖場
來做一些觀察
所以我們可以知道說到底這些魚苗
其實經過我們的標示之後
它其實都是可以存活的
很好的
那放了之後其實還是會
經過,標示之後還是會
經過一些潛水的觀察
所以照片上你可以看到
我們放的這幾種的
魚苗,其實大概在這些環境
底下都會在放流之後
再經過兩三次的這個潛水觀察
那觀察之後,那我們會知道說
到底它有沒有辦法
可以去適應這個新的
棲地,然後它有沒有這種
魚群通常會有一個
schooling,就是一個成群
回遊的這樣的習性,有沒有
集結成群,那有沒有
正常的設施,有沒有
正常的這些躲避敵人
的這些功用,這些
習性會出現
那如果有就表示其實這些魚
應該是在這個環境底下是可以
存活的很好的
那當然我剛剛說
如果我們用標示這樣的一個
方法的話,其實我們
就會另外希望透過一些
漁民或釣客
可以幫我們回收我們
標示的這些魚,所以其實
我們大概會放一些這種
就是在釣具店裡面放這種
懸賞的這個照片
或者是在一些漁港或者是
漁市場上面會放一些宣傳單
那如果有抓回來
其實我們都會給他一些
禮物或者是這個獎勵品
那另外也組成了這個群組
如果有在釣魚的
學生,如果你有興趣其實
有釣到這些標示的魚
其實都還是可以跟我們這個
團隊可以繼續的
來做一些回報,那所以
這個是一些釣客他釣到
或者是他拍了照片給我們看
其實這個左邊的這個黑貂
你看到他背上面有一個黑色
的一個小小的一個傷口
這個就是標示的這個結果
那我們放的時候可能
大概只有8到10公分
那放完之後可能
在海裡面四個月之後他就會
長到20公分,所以
他其實成長速度是很快的
那另外是像不食蒼生
那四個月之後可以看到
他的體長已經可以
達到25公分,所以我們
可以透過這些回收的資訊
可以很正確的計算說
他到底每個月可以
長多快,然後他
大概在幾個月之後他會被
漂到或游到
什麼樣的地方
那這個是更久
我剛剛講到可能是幾個月
那這個是銀紋鯛鯛,其實我們在
放了之後的兩年
是一個月,他
被回收了
其實我們就經過了一些分析
所以我們可以知道說
至少他放了將近
三年的時間,這個魚還是
可以活得很好,那這個是
釣到的這個
漁民他後來直接是送給我們
這個團隊,就是後來
當時的漁業署署長就是
蔡日耀
署長他還有頒發一些紀念
或者是獎狀給這些漁民
謝謝他們對於這些漁業資源
評估的這樣的一個貢獻
所以第一個我們可以知道
至少經過三年,這個魚都還是
活的,而且我們也可以知道
說像這個是在
苗栗的龍鳳漁港
放的魚,那在經過了
可能三個月之後,他有一些
會到比較北部到
可能到林口或者是竹圍的海邊
那有一些其實會到台中
的無期,所以其實
我們透過這些大量的這些標示
的這些
計畫的話,其實我們還是可以
曉得說
他到底擴散的速度是多快
然後他的成長的
速率到底是怎麼樣
有沒有辦法是真的
可以在這個地方長得很好
那最後他就會可以達到
我們所要的這些
資源富裕的這樣的一個目的
那另外其實
現在就是在約束
還有在規劃一些這個
放流或者是我們把它
稱作是愉悅的
示範區,就是這個
Sea Ranching Fishery Area
那第一個成立的
其實是在卯澳灣
這個是在貢寮的海邊
那這個海灣其實比較屬於
這種半封閉的海灣
那所以有一些定期性的物種
會在這裡,像九孔
或者是有些海膽
那這個地方其實他有自然的
天然的食物
所以讓這些放流的物種
可以在這個地方棲息
然後可以有自然的
設施躲避跟這個群聚的
行為,那另外一個是
當地的居民其實是非常配合
就是非常有意願的
配合這個政府單位的
執法,而且他們是組成一些
自助隊
或是說主動的去勸說
一些漁民如果他們在這地方
過度的捕撈
他其實會去勸說他們
那所以其實最後我們也是
希望在這個地方能夠透過
我們一些放流
在這個地方的漁民長大
之後他可以反而可以吸引
比較多的這些觀光客
來做一些這個生態的
旅遊,或者是
透過這個增值的方式
讓他的資源可以外擴
到其他的海域來
然後可以達到一些
漁業富裕的這樣的目的
所以提供一個地方給小魚安全
的長大,那他才有辦法
可以貢獻
給海裡面更多的這樣的
一個資源,所以我們在
漁民放流的這個
為了要達到這個
資源富裕的目的上
最理想的這個
ideal concept for
fish ranching,就是
理想的這個放流的概念
上當然就是像這個
卡通這個圖上面
畫的,第一個當然是
第一個圖是說
我們放的魚上面都會有一個標示
那這些標示的魚
其實有一些當然他會
被海裡面的大魚吃掉
有一些他其實會死掉
那當然一定會有
少數比例的一個體
他是會死亡,那可是其實
有大部分的魚他可以找到一個
適合的棲地
可以在這個地方安全
的繼續成長
那所以這個是
在放流的目的上我們要選擇
一個比較適合的棲地讓他可以
有比較高的比例
可以繼續的成長,那第二個
部分呢當然就是說我們要
去勸說或者是
有些很好的宣傳讓
這個漁民或釣客
讓比較小的魚還沒有長到
這個成熟
還沒有到這個上市體長的
這些個體讓他
在海裡面繼續長大
所以我們說小魚就
讓他放回到海裡面去
那你只把這個大魚
釣到一定的大小以上的大魚
才會把他帶回家
那第三個呢
就是希望這些魚在海裡面
持續的成長之後呢
最後他就會跟海裡面的
這些天然的族群
下面這條
有紅色的蝴蝶結
這個是放流的魚
那上面戴帽子這條
應該是公的魚,他其實是
海裡面的魚,他沒有經過標示的
那最後如果說
讓他都可以
長到這個成熟的體長
那最後讓他可以跟
自然的族群達到繁殖的
這樣的一個目的
那最後在最後的
第四個這個圖就是
最後的happy ending
就是讓他可以去繁殖出
他們的下一代
然後他跟自然的族群
可以增加更多的小魚
讓他可以增加海裡面的
這些魚類的資源
所以這個當然是我們
最後的希望
能夠達到的
怎麼樣透過這個
放流的這樣的一個
或者是這樣的一個計畫
最後是可以達到魚類資源
富裕的最後的
這個目的
那所以我今天大概就
講到這邊,所以這個是最後一張
這個其實是在
東北角潛水的潛水課
他有拍到大概就是
在潛水
的時候拍到其實被我們放的魚
可以看到背部有這個
這個標籤在體上
所以其實看到這些魚可以在海裡面
安全的
或者是健康的
可以繼續的成長
所以也希望說透過這樣的一個
放流的這些不同的
這些計畫能夠去增加
最後海裡面的自然資源
所以
這就是我最後一張投影片
所以我們接下來就開始
考試的部分
那後面會有
十題的選擇題
我就不每一題念
不過我每一題大概會維持
二十到
三十秒的時間
讓你們可以有時間去回答
所以我們接下來
就是開始到
第一題的部分
好 第二題
好 接下來下一題
第二題
好 第六題
第七題
第八題
第九題
第十題
最後一題
好
好
那我們這堂課就到這邊結束
